Vx_entropy, Vy_entropy, Vx_amplitude, Vy_amplitude, Vx_max, Vy_max, Vx_min, Vy_min, Vx_mean, Vy_mean, svm_class
4.191142,3.8920603,6.7307906,6.9397078,2.8978477,5.1126256,-3.832943,-1.8270824,-0.47210407,0.29602084,6
3.170712,3.9441948,27.508793,16.778866,23.762728,11.551135,-3.7460654,-5.227731,2.5912707,0.6141605,7
4.8814116,5.125061,13.820368,8.920412,8.964125,6.767932,-4.8562436,-2.15248,0.014706008,0.6556882,6
4.5936565,5.109238,18.602543,15.783062,8.937733,10.956819,-9.66481,-4.826243,-0.59294343,1.7194268,6
4.6799297,5.025873,13.223135,8.535986,7.591159,3.6240416,-5.631976,-4.911944,0.18131964,-0.65279967,7
4.724453,5.0967994,15.275779,10.392956,4.2747993,2.9569209,-11.000979,-7.436035,-0.081306525,-0.7326955,7
4.9984555,5.426596,18.843742,10.58137,8.663792,4.467316,-10.179951,-6.114054,-0.03485476,-0.44274452,7
4.996386,5.290333,14.588652,6.7719417,6.7807403,4.729508,-7.8079114,-2.0424337,-0.040281624,0.46246317,6
4.646637,4.9964495,12.484091,8.362566,5.7374144,4.765097,-6.746677,-3.5974689,-0.2870043,0.5723341,6
4.9305673,5.2423587,17.772398,10.838667,5.206651,2.5769403,-12.565746,-8.261726,-0.520208,-0.9181419,7
4.98962,5.40322,16.152458,7.589262,9.022403,2.1603186,-7.1300554,-5.428943,0.031955034,-0.51535094,7
5.796199,6.0854135,16.981739,6.6061225,5.4938345,4.0887303,-11.487904,-2.5173922,-1.3465023,0.23503497,4
5.4215636,5.8730307,11.603502,6.3941455,8.267686,3.9391477,-3.3358169,-2.4549978,1.9943637,0.0964972,4
5.489289,5.898346,13.475718,8.798214,3.0636935,4.547815,-10.4120245,-4.2503996,-2.0578964,0.03984684,4
5.8219604,6.0974703,14.91482,8.185669,5.5757737,4.7852144,-9.3390465,-3.400455,-1.9265771,0.18017383,4
5.327698,5.8140583,12.876361,8.517643,8.661267,4.9050403,-4.2150936,-3.6126032,2.0190694,0.01082217,4
5.6402807,5.854017,9.722122,7.5359755,6.368205,2.5625064,-3.3539174,-4.973469,1.9158906,-0.18282077,4
3.0304375,3.1023707,14.76968,8.316509,7.633572,3.2937062,-7.1361084,-5.0228033,0.18364125,0.46670476,8
2.5676038,2.8168058,23.98819,7.061626,8.255799,3.139846,-15.73239,-3.9217799,0.34815064,0.37280977,8
3.3621817,3.6358027,17.71497,11.667057,9.492816,7.8469453,-8.222153,-3.8201113,0.5879291,0.36975878,8
4.343946,4.8573976,24.224142,11.76845,12.677458,5.85286,-11.546684,-5.91559,0.29625574,0.32539052,8
2.9918113,3.4815345,7.096017,7.964637,1.7551696,5.690545,-5.340847,-2.2740915,-0.22804227,0.27642408,8
2.5377316,2.765182,37.421505,12.699263,12.406568,10.86821,-25.014936,-1.8310531,-2.6815064,1.4194753,6
2.2418861,2.5831826,36.17347,17.202044,17.223297,11.043558,-18.950172,-6.158486,-1.2152779,1.193301,6
3.1230373,3.2605097,27.194864,13.819484,13.10385,8.434447,-14.091014,-5.3850365,-0.12051395,0.90436274,6
3.0740533,3.2548378,33.196724,18.01413,17.648933,9.763877,-15.547791,-8.250252,-0.04272877,0.90367615,6
3.7887492,3.9787135,11.121145,26.672081,2.3761027,12.224678,-8.745043,-14.447404,-0.726597,-0.17371973,6
6.2097116,6.2022223,12.099671,8.292432,8.145607,3.4839466,-3.9540646,-4.808485,0.2182861,-0.28018215,3
6.1999907,6.1918616,15.30582,15.114155,9.568034,6.9949427,-5.737787,-8.119212,0.03693801,-0.17695679,3
6.205776,6.213078,11.954531,19.683966,5.401773,10.045902,-6.552758,-9.638063,-0.19228506,0.34748885,3
6.205165,6.2247295,10.617216,11.115702,4.4324107,5.419306,-6.184805,-5.6963954,-0.07101151,0.20866026,3
6.2014256,6.2031307,10.713529,10.362478,4.812131,3.995949,-5.9013977,-6.366529,0.053751517,0.07519925,3
6.2186594,6.2141476,9.340756,7.7987337,4.4842215,3.6441834,-4.856535,-4.1545506,0.068433404,-0.042074353,3
6.1979885,6.1993766,9.521633,8.05003,2.7895534,4.046093,-6.7320795,-4.0039372,-0.35298896,0.016908005,3
1.1471882,1.7553412,7.3136115,4.4432764,0.013578898,2.3441713,-7.3000326,-2.0991054,-3.0459132,0.023202807,1
1.3954219,1.9572022,7.8504868,4.7285566,0.127709,2.2909858,-7.722778,-2.4375706,-3.1794395,-0.07356433,1
0.97813904,1.0990839,1.2259234,0.51900935,0.3269795,0.2584618,-0.89894396,-0.26054752,-0.0024612357,0.0010024616,1
1.2644682,1.8618064,4.210278,2.579368,0.40769693,1.226378,-3.802581,-1.3529902,-1.6471714,-0.0064310837,1
1.1056767,1.794682,7.238996,3.836604,0.6035508,2.110552,-6.635445,-1.726052,-2.6141295,0.032548584,1
3.7129588,4.1870613,3.543051,1.9195038,0.5122729,1.0422089,-3.0307782,-0.8772949,-1.0170239,0.00032422107,1
3.7094917,3.9733691,8.826876,1.8889933,2.7285054,0.87221646,-6.0983706,-1.0167768,-1.0555922,-0.027756928,1
1.677101,1.6095552,4.413163,3.1847143,2.28341,3.179655,-2.129753,-0.005059289,0.017046483,1.5270809,2
1.3060191,1.4144828,5.2812123,2.2548635,3.2172108,2.2506,-2.0640016,-0.0042632874,0.012696054,0.8556222,2
1.9388261,1.7082243,6.153046,4.1126227,3.3287554,4.087446,-2.8242908,-0.025176454,0.032475777,2.495112,2
4.623045,5.627269,9.505033,7.5175924,4.6703024,7.6785135,-4.83473,0.16092122,0.11049989,5.5807447,2
3.6819463,3.2282887,6.7680273,3.2640145,4.2878637,3.2638133,-2.4801633,-0.00020124826,0.014943658,1.8731319,2
1.3173957,1.360479,7.9106026,2.7365358,4.849024,2.7314534,-3.0615785,-0.005082317,0.03860515,0.85593235,2
